"id","nom","cat","emoji","prix","old","stock","badge","desc","img","imgs","pub","usage","video"
"1","Shilajit Gummies Himalayen — Énergie & Vitalité","sante","🍯","245 000","360 000","TRUE","chaud","Cure de minéraux purs de l'Himalaya pour booster énergie, endurance et immunité. 1 gomme par jour, effet ressenti dès la 1ʳᵉ semaine.","assets/products/p01-shilajit.jpg","assets/products/p01-shilajit-natural.jpg","assets/products/p01-pub-strength.jpg","Prenez 1 à 2 gommes par jour, de préférence le matin. | Mâchez bien avant d'avaler — inutile de prendre avec de l'eau. | Faites une cure régulière pour une énergie et une vitalité durables.","assets/videos/p01-shilajit.mp4"
"2","Soin Kojic Acid Anti-Taches & Anti-Acné","beaute","✨","165 000","250 000","TRUE","new","Estompe taches brunes, boutons et cicatrices pour un teint clair et uniforme. Gamme à l'acide kojique (lotion + crème), résultats visibles en 14 jours.","assets/products/p02-kojic-lotion.jpg","assets/products/p02-kojic-cream.jpg","assets/products/p02-pub-modele.jpg | assets/products/p02b-avant-apres.jpg","Nettoyez et séchez votre peau matin et soir. | Appliquez une fine couche sur les zones à traiter. | Massez délicatement jusqu'à absorption, en évitant le contour des yeux. | Le jour, appliquez une protection solaire pour de meilleurs résultats.","assets/videos/p02-kojic.mp4"
"3","Poudre Minérale AQA — Blancheur & Soin des Dents","beaute","🦷","185 000","280 000","TRUE","top","Reminéralise et blanchit les dents en comblant les micro-fissures de l'émail. Un sourire éclatant à la maison, sans dentiste.","assets/products/p03d-aqa-box.jpg","assets/products/p03b-benefices.jpg","assets/products/p03-pub-avantapres.jpg | assets/products/p03-pub-shield.jpg | assets/products/_extras/aqa-oyikey.jpg","Humidifiez votre brosse à dents. | Trempez-la dans la poudre minérale AQA. | Brossez doucement 2 minutes, matin et soir. | Rincez à l'eau : un sourire plus blanc dès les premiers jours.",""
"4","Power Bank MagSafe Sans Fil — Batterie Magnétique","tech","🔋","185 000","280 000","TRUE","top","Batterie externe sans fil qui se clipse magnétiquement à l'arrière de ton téléphone (compatible MagSafe). Recharge sans câble, ultra-fine, se glisse dans la poche — idéale en déplacement.","assets/products/p04-magsafe-main.jpg","assets/products/p04-magsafe.jpg | assets/products/p04-magsafe2.jpg","assets/products/p04-bank1.jpg | assets/products/p04-bank2.jpg","Approchez la batterie de l'arrière de ton téléphone : l'aimant la fixe tout seul. | La recharge sans fil démarre automatiquement. | Rechargez la batterie elle-même via le port USB-C. | Compatible iPhone MagSafe et coques magnétiques.","assets/videos/p04-magsafe.mp4"
"10","Genouillère Anti-Arthrose Compression","sante","🦵","165 000","250 000","TRUE","","Soutient le genou et soulage les douleurs d'arthrose et articulaires. Compression chauffante pour bouger à nouveau sans douleur.","assets/products/p10-genou.jpg","assets/products/p10-genou1.jpg | assets/products/p10-genou2.jpg","assets/products/p10-genouelle.jpg","Enfilez la genouillère en centrant l'ouverture sur la rotule. | Ajustez les sangles : compression ferme mais confortable. | Portez-la pendant vos activités ou en cas de douleur. | Retirez-la la nuit ; lavable à la main.","assets/videos/p10-genou.mp4"
"21","Ventilateur Brumisateur Rafraîchisseur d'Air Portable","maison","🌬️","195 000","290 000","TRUE","chaud","Rafraîchit et humidifie l'air pour braver la chaleur de Conakry. Réservoir 700 ml, brumisation fine, 3 vitesses, veilleuse LED et minuterie. Rechargeable et silencieux, parfait sur le bureau ou la table de nuit.","assets/products/p21-fan.jpg","assets/products/p21-fan-desk.jpg | assets/products/p21-fan-green.jpg","assets/products/p21-fan-features.jpg","Remplissez le réservoir d'eau (et de glaçons pour plus de fraîcheur). | Rechargez ou branchez l'appareil. | Allumez et réglez la vitesse et la brumisation. | Orientez le flux vers vous. Parfait contre la chaleur de Conakry.","assets/videos/p21-brumisateur.mp4"
"26","Masque Moto + Lunettes Amovibles Anti-Vent","auto","🥽","165 000","250 000","TRUE","new","Masque moto rétro avec lunettes amovibles : protège du vent, de la poussière, du soleil et des projections. Se porte seul ou se clipse sur un casque jet/demi-jet. Verres iridescents anti-UV, mousse confort respirante, sangle réglable.","assets/products/p26-masque-moto.jpg","assets/products/p26b-masque-moto.jpg","assets/products/p26c-masque-moto-porte.jpg | assets/products/p26d-masque-moto-main.jpg","Clipsez ou détachez les lunettes du masque grâce aux attaches latérales. | Ajustez la sangle élastique derrière la tête (ou par-dessus le casque). | Portez-le seul à moto/scooter, ou avec un casque jet ou demi-jet. | Nettoyez les verres avec un chiffon doux ; rangez à l'abri des rayures.","assets/videos/p26-masque-moto.mp4"
"25","Mini Machine à Coudre Portable Sans Fil","maison","🧵","230 000","330 000","TRUE","new","Cousez ourlets, rideaux et vêtements à la main en quelques secondes, sans fil. Légère et facile, idéale à la maison comme en déplacement.","assets/products/p25-machine-couture.jpg","assets/products/p25d-inhand.jpg","assets/products/p25-pub-creatif.jpg | assets/products/p25c-closeup.jpg","Insérez les piles ou branchez l'appareil. | Enfilez le fil et placez le tissu sous l'aiguille. | Appuyez sur le bouton et guidez doucement le tissu. | Coupez le fil et nouez : c'est cousu !","assets/videos/p25-machine-couture.mp4"
"28","JBL Xtreme 4 — Enceinte Bluetooth Portable & Étanche","tech","🔊","285 000","420 000","TRUE","chaud","Enceinte Bluetooth puissante avec basses profondes et son immersif. Étanche (plage, piscine), bandoulière incluse, grosse autonomie — parfaite pour les fêtes, le sport et les sorties.","assets/products/p28-jbl.jpg","assets/products/p28-jbl-lifestyle.jpg","assets/products/p28-jbl-colors.jpg","Chargez complètement l'enceinte avant la première utilisation. | Activez le Bluetooth et appairez votre téléphone. | Réglez le volume et lancez votre playlist. | Emportez-la partout grâce à la bandoulière.","assets/videos/p28-jbl.mp4"
"31","Gonfleur de Pneu Portable Sans Fil — Auto & Moto","auto","🛞","185 000","280 000","TRUE","chaud","Mini compresseur rechargeable qui regonfle pneus de voiture, moto, vélo et ballons en quelques minutes. Écran digital, pression préréglée, arrêt automatique. Indispensable dans le coffre.","assets/products/p31-gonfleur.jpg","assets/products/p31-pompe.jpg","assets/products/p31-pub.jpg","Rechargez le gonfleur ou branchez-le sur l'allume-cigare. | Vissez l'embout sur la valve du pneu. | Réglez la pression voulue (PSI / BAR) sur l'écran. | Démarrez : l'appareil s'arrête tout seul à la bonne pression.","assets/videos/p26-gonfleur.mp4"
"32","Mini Aspirateur Sans Fil Puissant — Voiture & Maison","maison","🧹","165 000","250 000","TRUE","new","Petit aspirateur à main rechargeable, parfait pour la voiture, le bureau et les recoins difficiles. Aspiration puissante, embouts inclus, ultra-léger et silencieux.","assets/products/p32-aspirateur.jpg","assets/products/p32-asp2.jpg","assets/products/p32-keyboard.jpg","Chargez l'aspirateur via le câble USB. | Choisissez l'embout adapté (fente ou brosse). | Allumez et passez sur miettes, poussière et poils. | Videz le bac et rincez le filtre après usage.","assets/videos/p27-aspirateur.mp4"
"33","Ventilateur de Cou Sans Pales — Portable & Mains Libres","maison","💨","230 000","330 000","TRUE","chaud","Ventilateur de cou sans pales (sécurité cheveux), porté autour du cou pour rester au frais les mains libres. Rechargeable longue autonomie, plusieurs vitesses, silencieux et léger — idéal trajet, sport, cuisine et bureau.","assets/products/p33-neckfan.jpg","assets/products/p33-neckfan-blue.jpg","assets/products/p33-neckfan-features.jpg","Rechargez l'appareil via le câble USB avant usage. | Posez-le autour du cou, les sorties d'air vers le visage. | Allumez et choisissez la vitesse souhaitée. | Mains libres : marchez, travaillez ou cuisinez au frais.","assets/videos/p33-neckfan.mp4"
"34","Défroisseur Vapeur & Mini Fer à Repasser Portable 1000W","maison","👕","280 000","","TRUE","new","Défroisseur vapeur et mini fer à repasser 2-en-1, ultra-compact et puissant (1000W). Chauffe en 20 secondes et défroisse chemises, robes et rideaux à la verticale comme à plat. Réservoir 100 ml, vapeur humide ou repassage à sec — parfait à la maison comme en voyage.","assets/products/p34-defroisseur.jpg","assets/products/p34-defroisseur-green.jpg","assets/products/p34-pub.jpg","Remplissez le réservoir d'eau (100 ml) pour la fonction vapeur. | Branchez et patientez 20 secondes de chauffe. | Passez l'appareil sur le vêtement, à la verticale sur un cintre ou à plat. | Videz le réservoir après usage et laissez refroidir avant de ranger.","assets/videos/p34-repassage.mp4"
"35","Lampe Torche LED Ultra-Puissante 8000LM — 8 LED Rechargeable","maison","🔦","120 000","","TRUE","chaud","Lampe torche LED ultra-puissante : 8000 lumens, 8 LED et 8 modes d'éclairage. Rechargeable par USB, compacte et résistante, avec base magnétique — parfaite à la maison, en cas de coupure de courant, au camping ou en déplacement. Faisceau puissant qui éclaire très loin.","assets/products/p35-torche.jpg","assets/products/p35-torche-hand.jpg","","Rechargez la torche via le câble USB avant la première utilisation. | Appuyez sur le bouton pour l'allumer et changer de mode d'éclairage. | Fixez-la sur une surface métallique grâce à la base magnétique, mains libres. | Idéale à la maison, en cas de coupure, au camping ou en voiture.","assets/videos/p35-torche.mp4"
"36","Spray Imperméabilisant Nano — Chaussures & Baskets Anti-Eau & Taches","mode","👟","120 000","","TRUE","chaud","Spray imperméabilisant nano dernière génération : il crée une barrière invisible qui repousse l'eau, la boue et les taches sur chaussures, baskets, daim et tissus. Une pulvérisation et l'eau perle et glisse — tes baskets restent propres et sèches, même en pleine saison des pluies. Séchage rapide, sans odeur, invisible.","assets/products/p36-spray.jpg","assets/products/p36-spray-can.jpg","assets/products/p36-spray-apply.jpg","Nettoyez et séchez la chaussure ou le tissu avant application. | Pulvérisez à 15–20 cm, en couche fine et régulière. | Laissez sécher 20 à 30 minutes (ou 2 fines couches à 10 min d'intervalle). | L'eau, la boue et les taches perlent et glissent. À renouveler après plusieurs pluies ou lavages.","assets/videos/p36-spray.mp4"
"37","Brosse Lissante Chauffante Sans Fil — Rechargeable USB","beaute","💇","280 000","","TRUE","new","Des cheveux lisses et brillants en quelques minutes, sans fil et sans effort. Cette brosse chauffante démêle et lisse d'un seul geste : elle monte jusqu'à 200°C avec écran digital et se recharge par USB. Glissez-la dans votre sac pour une coiffure parfaite partout — à la maison, au bureau ou en voyage.","assets/products/p37-brosse-lissante.jpg","assets/products/p37-brosse-lissante-2.jpg","","Rechargez la brosse via le câble USB avant utilisation. | Allumez et réglez la température (jusqu'à 200°C) sur l'écran digital. | Passez la brosse mèche par mèche, des racines vers les pointes. | Laissez refroidir avant de la ranger. Idéale à la maison comme en voyage.","assets/videos/p37-brosse-lissante.mp4"
"38","Miroir de Maquillage LED Rechargeable — 3 Modes de Lumière","beaute","🪞","200 000","","TRUE","top","Un miroir lumineux digne des instituts pour un maquillage parfait à toute heure. Éclairage LED doux réglable sur 3 intensités, commande tactile et recharge USB — sans fil ni pile. Sa base élégante range aussi vos bijoux et cosmétiques. Chic, féminin, et une idée cadeau qui fait toujours plaisir.","assets/products/p38-miroir-led.jpg","assets/products/p38-miroir-led-2.jpg","assets/products/p38-miroir-led-3.jpg","Rechargez le miroir via le câble USB avant utilisation. | Touchez le bouton tactile pour l'allumer. | Appuyez à nouveau pour régler l'intensité (3 modes de lumière). | Posez vos bijoux et cosmétiques sur la base de rangement.","assets/videos/p38-miroir-led.mp4"
"39","Lampe LED Rechargeable avec Télécommande — Anti-Coupures","maison","💡","165 000","230 000","TRUE","chaud","Ne subissez plus les coupures de courant. Cette ampoule LED rechargeable continue d'éclairer même sans électricité, et se contrôle entièrement à la télécommande : allumage, intensité et 16 couleurs. Crochet intégré pour l'accrocher partout — maison, boutique, cour ou camping.","assets/products/p39-lampe-led-telecommande.jpg","assets/products/p39-lampe-led-telecommande-2.jpg","assets/products/p39-lampe-led-telecommande-3.jpg","Rechargez l'ampoule via le câble USB avant la première utilisation. | Vissez-la sur une douille ou suspendez-la par son crochet. | Allumez et réglez l'intensité ou la couleur avec la télécommande. | En cas de coupure, elle continue d'éclairer sur sa batterie.",""
"40","Hydropulseur Dentaire Portable — Jet Dentaire USB (4 Embouts)","sante","🦷","245 000","350 000","TRUE","new","Une hygiène dentaire de cabinet, à la maison. Ce jet d'eau sous pression déloge les résidus et la plaque entre les dents, là où la brosse ne passe pas — plus efficace et plus doux que le fil dentaire. Rechargeable USB, sans fil, avec réservoir intégré et 4 embouts pour toute la famille (idéal appareils et bagues).","assets/products/p40-hydropulseur-dentaire.jpg","assets/products/p40-hydropulseur-dentaire-2.jpg","assets/products/p40-hydropulseur-dentaire-3.jpg","Rechargez l'appareil via USB et remplissez le réservoir d'eau. | Choisissez un embout et réglez l'intensité du jet. | Penchez-vous au-dessus du lavabo, bouche entrouverte. | Passez le jet le long de la gencive et entre chaque dent.","assets/videos/p40-hydropulseur-dentaire.mp4"
"41","Parasol Pare-Soleil Voiture — Protection Habitacle Anti-Chaleur","auto","☂️","175 000","260 000","TRUE","chaud","Fini l'habitacle brûlant et le volant impossible à toucher. Ce pare-soleil en forme de parapluie se déploie en quelques secondes et bloque la chaleur et les UV derrière votre pare-brise. Votre voiture reste fraîche, le tableau de bord protégé, et il se replie pour se ranger dans sa housse.","assets/products/p41-parasol-voiture.jpg","assets/products/p41-parasol-voiture-2.jpg","","Ouvrez le parasol comme un parapluie à l'intérieur du véhicule. | Calez le manche entre le volant et le pare-brise. | Ajustez pour couvrir toute la surface vitrée. | Repliez-le et rangez-le dans sa housse en quittant la voiture.","assets/videos/p41-parasol-voiture.mp4"
"42","Répéteur WiFi 300 Mbps — Amplificateur de Signal Maison","maison","📶","185 000","270 000","TRUE","new","Du WiFi partout, fini les zones mortes. Ce répéteur se branche sur une prise et étend le signal de votre box dans toute la maison — chambres, étage, cour. Installation en 2 minutes via le bouton WPS, sans câble ni configuration compliquée. Idéal pour les grandes concessions et les murs épais.","assets/products/p42-wifi-booster.jpg","assets/products/p42-wifi-booster-2.jpg","assets/products/p42-wifi-booster-3.jpg","Branchez le répéteur sur une prise, à mi-chemin de votre box. | Appuyez sur le bouton WPS du répéteur puis sur celui de la box. | Attendez que le voyant de signal se stabilise. | Connectez vos appareils au nouveau réseau étendu.",""
"43","Blender Portable Rechargeable USB — Mixeur à Jus & Smoothies 6 Lames","maison","🥤","175 000","250 000","TRUE","new","Préparez vos jus de fruits frais partout, sans fil. Ce mini-mixeur rechargeable broie mangue, ananas, gingembre ou banane en quelques secondes grâce à ses 6 lames en inox. Parfait pour un smoothie vitaminé, une bouillie pour bébé ou une sauce express — et il se transforme en gourde à emporter au bureau, en voyage ou à la salle. Recharge par USB, aucun branchement, zéro corvée de vaisselle.","assets/products/mixeur-1.jpg","assets/products/mixeur-2.jpg","assets/products/mixeur-3.jpg","Rechargez l'appareil via le câble USB avant la première utilisation. | Ouvrez le bol et ajoutez vos fruits coupés avec un peu d'eau ou de lait. | Refermez bien, retournez l'appareil et double-cliquez sur le bouton pour démarrer. | Dégustez directement dans la bouteille, puis rincez à l'eau.","assets/videos/mixeur-video.mp4"
